TPV | 20230415 172326 | ERROR: This is a debug test
TPV | 20230415 210226 | DEBUG: User: None
TPV | 20230415 210226 | WARNING: User admin already exists.
TPV | 20230415 210226 | INFO: User logged admin.
TPV | 20230415 210226 | INFO: Adding grants to users: ['admin', 'user1'] and groups: [] to do ['add_grants', 'revoke_grants']
TPV | 20230415 210226 | INFO: Editing table users item admin: {'grants': ['add_grants', 'revoke_grants'], 'password': '79941e9b1818bf3b4e3e1873a26027a5'}
TPV | 20230415 210226 | INFO: Editing table users item user1: {'grants': ['add_grants', 'revoke_grants'], 'password': 'f2c153ccc81a51c7a156163a58c78fd6'}
TPV | 20230415 210226 | INFO: Revoking grants to users: ['user1'] and groups: [] to do {'revoke_grants'}
TPV | 20230415 210226 | INFO: Editing table users item user1: {'grants': ['add_grants'], 'password': 'f2c153ccc81a51c7a156163a58c78fd6'}
TPV | 20230415 210226 | INFO: Adding to table user_groups item mantainers: {'users': []}
TPV | 20230415 210226 | INFO: Removing from table user_groups item mantainers.
TPV | 20230415 210228 | DEBUG: User: None
TPV | 20230415 210228 | WARNING: User user1 already exists.
TPV | 20230415 210228 | DEBUG: User: None
TPV | 20230415 210228 | WARNING: Login user1 with wrong password.
TPV | 20230415 210228 | DEBUG: User: None
TPV | 20230415 210228 | INFO: User logged user1.
TPV | 20230415 210228 | DEBUG: User: user1
TPV | 20230415 210228 | DEBUG: User: None
TPV | 20230415 210228 | WARNING: User admin already exists.
TPV | 20230415 210228 | INFO: User logged admin.
TPV | 20230415 210228 | INFO: Adding grants to users: ['admin', 'user1'] and groups: [] to do ['add_grants', 'revoke_grants']
TPV | 20230415 210228 | INFO: Editing table users item admin: {'grants': ['revoke_grants', 'add_grants'], 'password': '79941e9b1818bf3b4e3e1873a26027a5'}
TPV | 20230415 210228 | INFO: Editing table users item user1: {'grants': ['revoke_grants', 'add_grants'], 'password': 'f2c153ccc81a51c7a156163a58c78fd6'}
TPV | 20230415 210228 | INFO: Revoking grants to users: ['user1'] and groups: [] to do {'revoke_grants'}
TPV | 20230415 210228 | INFO: Editing table users item user1: {'grants': ['add_grants'], 'password': 'f2c153ccc81a51c7a156163a58c78fd6'}
TPV | 20230415 210228 | INFO: Adding to table user_groups item mantainers: {'users': []}
TPV | 20230415 210228 | INFO: Removing from table user_groups item mantainers.
TPV | 20230415 210303 | DEBUG: User: None
TPV | 20230415 210303 | WARNING: User user1 already exists.
TPV | 20230415 210303 | DEBUG: User: None
TPV | 20230415 210303 | WARNING: Login user1 with wrong password.
TPV | 20230415 210303 | DEBUG: User: None
TPV | 20230415 210303 | INFO: User logged user1.
TPV | 20230415 210303 | DEBUG: User: user1
TPV | 20230415 210303 | DEBUG: User: None
TPV | 20230415 210303 | WARNING: User admin already exists.
TPV | 20230415 210303 | INFO: User logged admin.
TPV | 20230415 210303 | INFO: Adding grants to users: ['admin', 'user1'] and groups: [] to do ['add_grants', 'revoke_grants']
TPV | 20230415 210303 | INFO: Editing table users item admin: {'grants': ['revoke_grants', 'add_grants'], 'password': '79941e9b1818bf3b4e3e1873a26027a5'}
TPV | 20230415 210303 | INFO: Editing table users item user1: {'grants': ['revoke_grants', 'add_grants'], 'password': 'f2c153ccc81a51c7a156163a58c78fd6'}
TPV | 20230415 210303 | INFO: Revoking grants to users: ['user1'] and groups: [] to do {'revoke_grants'}
TPV | 20230415 210303 | INFO: Editing table users item user1: {'grants': ['add_grants'], 'password': 'f2c153ccc81a51c7a156163a58c78fd6'}
TPV | 20230415 210303 | INFO: Adding to table user_groups item mantainers: {'users': []}
TPV | 20230415 210303 | INFO: Adding ['user1'] to group mantainers.
TPV | 20230415 210303 | INFO: Removing from table user_groups item mantainers.
TPV | 20230415 210433 | DEBUG: User: None
TPV | 20230415 210433 | WARNING: User user1 already exists.
TPV | 20230415 210433 | DEBUG: User: None
TPV | 20230415 210433 | WARNING: Login user1 with wrong password.
TPV | 20230415 210433 | DEBUG: User: None
TPV | 20230415 210433 | INFO: User logged user1.
TPV | 20230415 210433 | DEBUG: User: user1
TPV | 20230415 210433 | DEBUG: User: None
TPV | 20230415 210433 | WARNING: User admin already exists.
TPV | 20230415 210433 | INFO: User logged admin.
TPV | 20230415 210433 | INFO: Adding grants to users: ['admin', 'user1'] and groups: [] to do ['add_grants', 'revoke_grants']
TPV | 20230415 210433 | INFO: Editing table users item admin: {'grants': ['add_grants', 'revoke_grants'], 'password': '79941e9b1818bf3b4e3e1873a26027a5'}
TPV | 20230415 210433 | INFO: Editing table users item user1: {'grants': ['revoke_grants', 'add_grants'], 'password': 'f2c153ccc81a51c7a156163a58c78fd6'}
TPV | 20230415 210433 | INFO: Revoking grants to users: ['user1'] and groups: [] to do {'revoke_grants'}
TPV | 20230415 210433 | INFO: Editing table users item user1: {'grants': ['add_grants'], 'password': 'f2c153ccc81a51c7a156163a58c78fd6'}
TPV | 20230415 210433 | INFO: Adding to table user_groups item mantainers: {'users': []}
TPV | 20230415 210433 | INFO: Adding ['user1'] to group mantainers.
TPV | 20230415 210433 | INFO: Editing table user_groups item mantainers: {'users': ['user1']}
TPV | 20230415 210433 | INFO: Removing from table user_groups item mantainers.
TPV | 20230415 210445 | DEBUG: User: None
TPV | 20230415 210445 | WARNING: User user1 already exists.
TPV | 20230415 210445 | DEBUG: User: None
TPV | 20230415 210445 | WARNING: Login user1 with wrong password.
TPV | 20230415 210445 | DEBUG: User: None
TPV | 20230415 210445 | INFO: User logged user1.
TPV | 20230415 210445 | DEBUG: User: user1
TPV | 20230415 210445 | DEBUG: User: None
TPV | 20230415 210445 | WARNING: User admin already exists.
TPV | 20230415 210445 | INFO: User logged admin.
TPV | 20230415 210445 | INFO: Adding grants to users: ['admin', 'user1'] and groups: [] to do ['add_grants', 'revoke_grants']
TPV | 20230415 210445 | INFO: Editing table users item admin: {'grants': ['add_grants', 'revoke_grants'], 'password': '79941e9b1818bf3b4e3e1873a26027a5'}
TPV | 20230415 210445 | INFO: Editing table users item user1: {'grants': ['add_grants', 'revoke_grants'], 'password': 'f2c153ccc81a51c7a156163a58c78fd6'}
TPV | 20230415 210445 | INFO: Revoking grants to users: ['user1'] and groups: [] to do {'revoke_grants'}
TPV | 20230415 210445 | INFO: Editing table users item user1: {'grants': ['add_grants'], 'password': 'f2c153ccc81a51c7a156163a58c78fd6'}
TPV | 20230415 210445 | INFO: Adding to table user_groups item mantainers: {'users': []}
TPV | 20230415 210445 | INFO: Adding ['user1'] to group mantainers.
TPV | 20230415 210445 | INFO: Editing table user_groups item mantainers: {'users': ['user1']}
TPV | 20230415 210546 | DEBUG: User: None
TPV | 20230415 210546 | WARNING: User user1 already exists.
TPV | 20230415 210546 | DEBUG: User: None
TPV | 20230415 210546 | WARNING: Login user1 with wrong password.
TPV | 20230415 210546 | DEBUG: User: None
TPV | 20230415 210546 | INFO: User logged user1.
TPV | 20230415 210546 | DEBUG: User: user1
TPV | 20230415 210546 | DEBUG: User: None
TPV | 20230415 210546 | WARNING: User admin already exists.
TPV | 20230415 210546 | INFO: User logged admin.
TPV | 20230415 210546 | INFO: Adding grants to users: ['admin', 'user1'] and groups: [] to do ['add_grants', 'revoke_grants']
TPV | 20230415 210546 | INFO: Editing table users item admin: {'grants': ['add_grants', 'revoke_grants'], 'password': '79941e9b1818bf3b4e3e1873a26027a5'}
TPV | 20230415 210546 | INFO: Editing table users item user1: {'grants': ['add_grants', 'revoke_grants'], 'password': 'f2c153ccc81a51c7a156163a58c78fd6'}
TPV | 20230415 210546 | INFO: Revoking grants to users: ['user1'] and groups: [] to do {'revoke_grants'}
TPV | 20230415 210546 | INFO: Editing table users item user1: {'grants': ['add_grants'], 'password': 'f2c153ccc81a51c7a156163a58c78fd6'}
TPV | 20230415 210546 | INFO: Removing from table user_groups item mantainers.
TPV | 20230415 210546 | INFO: Adding to table user_groups item mantainers: {'users': []}
TPV | 20230415 210546 | INFO: Adding ['user1'] to group mantainers.
TPV | 20230415 210546 | INFO: Editing table user_groups item mantainers: {'users': ['user1']}
TPV | 20230415 210546 | INFO: Adding grants to users: [] and groups: ['mantainers'] to do ['create_group', 'add_users_to_group']
TPV | 20230415 210546 | INFO: Editing table user_groups item mantainers: {'users': ['user1'], 'grants': ['add_users_to_group', 'create_group']}
